Name,AttributeDescription,Type,Units,Length,ValidValues,AggDefaultValues,DefaultValue1,DefaultValueDesciption1,DefaultValue2,DefaultValueDesciption2,DefaultValue3,DefaultValueDesciption3,DefaultValue4,DefaultValueDesciption4,DefaultValue5,DefaultValueDesciption5,DefaultValue6,DefaultValueDesciption6,Equifax_TU_Availability,LeveledWithExperian,ExpNewData_ArchiveAvailableDate_Arf7SubsegKeyword,RecommendedNotToUse_NCAPImpact
ALL0437,Total number of open trades opened in the last 12 months ,number,Trades,2,0-90,"99: No trade excluding collections


",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL0438,Total number of open trades opened in the last 24 months ,number,Trades,2,0-90,"99: No trade excluding collections


",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL0439,Total number of open trades opened in the last 36 months ,number,Trades,2,0-90,"99: No trade excluding collections


",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL0446,Total number of open trades opened at least 6 months reported in the last 3 months ,number,Trades,2,0-90,"99: No trade excluding collections


",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL0448,Total number of open trades opened at least 24 months reported in the last 3 months,number,Trades,2,0-90,"99: No trade excluding collections


",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL0700,Total number of closed trades excluding collections,number,Trades,2,0-90,"99: No trade excluding collections


",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL0716,Total number of trades voluntarily closed in the last 6 months excluding collections,number,Trades,2,0-90,"99: No trade excluding collections


",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL0726,Total number of trades closed by credit grantor in the last 6 months excluding collections,number,Trades,2,0-90,"99: No trade excluding collections


",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL0900,Total number of trades affected by natural disaster excluding collections,number,Trades,2,0-90,"99: No trade excluding collections


",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL1300,Total number of trades never delinquent or derogatory,number,Trades,2,0-90,"99: No trade excluding collections


",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL1302,Total number of trades under a government loan modification plan never delinquent or derogatory,number,Trades,2,0-90,"99: No trade excluding collections


",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL1303,Total number of trades under a non-government loan modification plan never delinquent or derogatory,number,Trades,2,0-90,"99: No trade excluding collections


",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL1306,Total number of early payoff trades never delinquent or derogatory with longer than 6 months remaining to maturity ,number,Trades,2,0-90,"99: No trade excluding collections


",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Not Leveled: EQU FFF v5 & AP v5,Null,Null
ALL1360,Total number of trades never delinquent or derogatory occurred in the last 6 months,number,Trades,2,0-90,"99: No trade excluding collections
97: No trade reported within timeframe required

",99,No trade excluding collections,97,No trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL1361,Total number of trades where the payment behavior in most recent six months (0-6) is worse than the payment behavior in previous six months (6-12) excluding collections and other unsatisfied derogatory,number,Trades,2,0-90,"99: No trade excluding collections
97: No trade reported within timeframe required

",99,No trade excluding collections,97,No trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL1370,Total number of trades never delinquent or derogatory occurred in the last 12 months,number,Trades,2,0-90,"99: No trade excluding collections
97: No trade reported within timeframe required

",99,No trade excluding collections,97,No trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL1380,Total number of trades never delinquent or derogatory occurred in the last 24 months,number,Trades,2,0-90,"99: No trade excluding collections
97: No trade reported within timeframe required

",99,No trade excluding collections,97,No trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL1401,Total number of open trades with a balance > $0 never delinquent or derogatory,number,Trades,2,0-90,"99: No trade excluding collections


",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL1760,Total number of trades never delinquent or derogatory closed in the last 6 months ,number,Trades,2,0-90,"99: No trade excluding collections


",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL2000,Total number of open trades presently satisfactory reported in the last 3 months ,number,Trades,2,0-90,"99: No trade excluding collections
97: No trade reported within timeframe required

",99,No trade excluding collections,97,No trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL1371,Total number of trades where the payment behavior in most recent twelve months (0-12) is worse than the payment behavior in previous twelve months (13-24) excluding collections and other unsatisfied derogatory,number,Trades,2,0-90,"99: No trade excluding collections
97: No trade reported within timeframe required

",99,No trade excluding collections,97,No trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL2001,Total number of trades presently satisfactory that were ever 30 or more days delinquent or derogatory including collections,number,Trades,2,0-90,"99: No trade including collections
96: No trade with delinquency required
",99,No trade including collections,96,No trade with delinquency required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL2002,Total number of trades presently satisfactory that were ever 30 or more days delinquent or derogatory reported in the last 6 months including collections,number,Trades,2,0-90,"99: No trade including collections
97: No trade reported within timeframe required
96: No trade with delinquency or derogatory reported within timeframe required
",99,No trade including collections,97,No trade reported within timeframe required,96,No trade with delinquency or derogatory reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL2003,Total number of trades presently satisfactory and with maximum delinquency of 30 days 1 or 2 times that occurred in the last 12 months,number,Trades,2,0-90,"99: No trade excluding collections
97: No trade reported within timeframe required
96: No trade with delinquency required
",99,No trade excluding collections,97,No trade reported within timeframe required,96,No trade with delinquency required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL2004,Total number of trades presently satisfactory and with maximum delinquency of 30 days that occurred in the last 12 months,number,Trades,2,0-90,"99: No trade excluding collections
97: No trade reported within timeframe required
96: No trade with delinquency within timeframe required
",99,No trade excluding collections,97,No trade reported within timeframe required,96,No trade with delinquency within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL2005,Total number of open trades presently satisfactory reported in the last 3 months and opened 12 months or older,number,Trades,2,0-90,"99: No trade excluding collections
97: No trade reported and opened within timeframe required

",99,No trade excluding collections,97,No trade reported and opened within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL2006,Total number of trades presently satisfactory and with maximum delinquency of 30 days that occurred more than 12 months ago,number,Trades,2,0-90,"99: No trade excluding collections
96: No trade with delinquency within timeframe required
",99,No trade excluding collections,96,No trade with delinquency within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL2008,"Total number of trades never delinquent or derogatory opened after the most recent trade derogatory (excluding collections and including indeterminates), or public record bankruptcy",number,Trades,2,0-90,"99: No trade excluding collections
96: No trade with derogatory excluding collection or public record bankruptcy required
",99,No trade excluding collections,96,No trade with derogatory excluding collection or public record bankruptcy required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL2009,"Total number of trades never delinquent or derogatory opened after the most recent trade derogatory (including collections and indeterminates), or public record bankruptcy",number,Trades,2,0-90,"99: No trade excluding collections
96: No trade with derogatory including collection or public record bankruptcy required
",99,No trade excluding collections,96,No trade with derogatory including collection or public record bankruptcy required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL2011,Total number of trades presently satisfactory that were ever 30 or more days delinquent or derogatory excluding collections,number,Trades,2,0-90,"99: No trade excluding collections
96: No trade with delinquency required
",99,No trade excluding collections,96,No trade with delinquency required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL2012,Total number of trades presently satisfactory that were ever 30 or more days delinquent or derogatory reported in the last 6 months excluding collections,number,Trades,2,0-90,"99: No trade excluding collections
97: No trade reported within timeframe required
96: No trade with delinquency or derogatory reported within timeframe required
",99,No trade excluding collections,97,No trade reported within timeframe required,96,No trade with delinquency or derogatory reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL2106,Total number of trades presently 30 days delinquent reported in the last 6 months ,number,Trades,2,0-90,"99: No trade excluding collections
97: No trade reported within timeframe required

",99,No trade excluding collections,97,No trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL2116,Total number of trades presently 30-180 days delinquent reported in the last 6 months ,number,Trades,2,0-90,"99: No trade excluding collections
97: No trade reported within timeframe required

",99,No trade excluding collections,97,No trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL2120,Total number of trades presently 30 or more days delinquent or derogatory including collections,number,Trades,2,0-90,"99: No trade including collections


",99,No trade including collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL2322,"Total number of trades ever 30 days delinquent that occurred more than 2 times, or ever 60 or more days delinquent or derogatory excluding collections",number,Trades,2,0-90,"99: No trade excluding collections


",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL2330,Total number of trades ever 60 days delinquent excluding collections and other unsatisfied derogatory,number,Trades,2,0-90,"99: No trade excluding collections


",99,No trade excluding collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null
ALL2350,Total number of trades ever 60 or more days delinquent or derogatory including collections,number,Trades,2,0-90,"99: No trade including collections


",99,No trade including collections,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
ALL2126,Total number of trades presently 30 or more days delinquent or derogatory occurred in the last 6 months including collections,number,Trades,2,0-90,"99: No trade including collections
97: No trade reported within timeframe required

",99,No trade including collections,97,No trade reported within timeframe required,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Null,Impacted by NCAP changes
